AccountID,ClusterID,RecommendationMessage,RecommendationReason,PriorityLevel,RecommendationCategory,SavingsPotential,AnomalyCount,SpendingVsCluster,AvgTransactionAmount,AverageBalance,TransactionFrequency,MetricValue
AC00013,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $416.37 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,35.78932160773579,8,-7.118051716236462,203.91,4462.63125,8,Min balance: $416.37
AC00014,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $392.34 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,22.727720776933175,9,-10.399600640037699,348.25333333333333,6523.9977777777785,9,Min balance: $392.34
AC00015,1,Consider reducing transaction amounts,Your avg transaction ($287.19) is 31% above cluster average,HIGH,SPENDING_CONTROL,26.020481056257076,4,30.814096012322263,287.185,3903.65,4,30.8% above cluster
AC00016,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $164.12 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,13.263680140708757,6,-2.575989062629903,378.6616666666667,3985.7966666666666,6,Min balance: $164.12
AC00017,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $477.03 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,20.11534269126483,5,3.258343663608242,226.69,3273.474,5,Min balance: $477.03
AC00018,0,Consider reducing transaction amounts,Your avg transaction ($552.89) is 42% above cluster average,HIGH,SPENDING_CONTROL,15.404986105958994,3,42.25036793750591,552.89,8086.323333333334,3,42.3% above cluster
AC00019,1,Monitor unusual transactions for budget deviations,Found 4 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,10.889699913762332,4,7.9762328272053304,237.0475,4981.91,4,4 anomalies
AC00020,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $117.98 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,34.2107981836058,9,8.288732589153105,420.89,3833.6277777777777,9,Min balance: $117.98
AC00021,0,Consider reducing transaction amounts,Your avg transaction ($532.92) is 37% above cluster average,HIGH,SPENDING_CONTROL,44.26612070026964,8,37.111740952695484,532.9175,3631.39125,8,37.1% above cluster
AC00022,1,Monitor unusual transactions for budget deviations,Found 4 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,4,-11.66854292978557,193.92,6334.74,4,4 anomalies
AC00023,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $399.57 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,22.777272027001654,6,-4.971106579113204,208.6233333333333,3662.5466666666666,6,Min balance: $399.57
AC00024,1,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,34.43852117042967,5,29.995554199434615,285.38800000000003,3440.032,5,5 anomalies
AC00025,2,Monitor unusual transactions for budget deviations,Found 2 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,2,-5.835534935498525,207.685,6009.835,2,2 anomalies
AC00026,1,Review irregular transactions for budgeting patterns,Detected 6 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,7.530174493190481,6,-27.71824842622227,158.685,4629.8516666666665,6,6 anomalies
AC00027,2,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,3,-15.737044318620116,185.84666666666664,9518.5,3,3 anomalies
AC00028,0,Consider reducing transaction amounts,Your avg transaction ($723.39) is 86% above cluster average,HIGH,SPENDING_CONTROL,45.60472774229724,3,86.11748026246161,723.39,1610.4666666666665,3,86.1% above cluster
AC00029,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $325.15 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,3.2486538407932937,6,-16.720238329870025,323.68666666666667,6264.863333333334,6,Min balance: $325.15
AC00030,0,Review irregular transactions for budgeting patterns,Detected 9 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,20.835348616642307,9,-15.104487799660518,329.96666666666664,5498.2877777777785,9,9 anomalies
AC00032,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $105.01 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,28.297652477943558,9,-3.241928705256072,376.0733333333333,3675.572222222223,9,Min balance: $105.01
AC00033,1,Review irregular transactions for budgeting patterns,Detected 6 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,7.632771568782431,6,-31.599147839579466,150.165,3460.8866666666668,6,6 anomalies
AC00034,1,Monitor unusual transactions for budget deviations,Found 4 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,19.02286651441503,4,14.775778131535077,251.975,2910.24,4,4 anomalies
AC00035,0,Review irregular transactions for budgeting patterns,Detected 9 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,6.477970570410436,9,-38.5039973802053,239.0188888888889,6841.31,9,9 anomalies
AC00036,0,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,0.0,5,-17.236523796529323,321.68,6564.382,5,5 anomalies
AC00037,2,Monitor unusual transactions for budget deviations,Found 2 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,2,-42.58817252669909,126.625,7725.1,2,2 anomalies
AC00038,1,Consider reducing transaction amounts,Your avg transaction ($301.73) is 37% above cluster average,HIGH,SPENDING_CONTROL,9.005101146515543,1,37.439410797214336,301.73,990.74,1,37.4% above cluster
AC00039,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $271.78 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,8.461294874919231,7,-22.05143097254037,302.96571428571434,3446.2971428571427,7,Min balance: $271.78
AC00040,0,Consider reducing transaction amounts,Your avg transaction ($585.11) is 51% above cluster average,HIGH,SPENDING_CONTROL,35.05777559778842,5,50.54112352436441,585.114,5260.77,5,50.5% above cluster
AC00041,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $129.29 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,19.776217303415322,7,-25.187920228898413,164.24,3217.4000000000005,7,Min balance: $129.29
AC00042,1,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,18.44275748899711,5,-3.9759808062202753,210.808,2019.302,5,5 anomalies
AC00043,0,Monitor unusual transactions for budget deviations,Found 4 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,17.221847696714732,4,29.59129700396554,503.6875,6327.0175,4,4 anomalies
AC00044,2,Consider reducing transaction amounts,Your avg transaction ($487.32) is 121% above cluster average,HIGH,SPENDING_CONTROL,28.93902567232893,1,120.95108994502664,487.32,7707.96,1,121.0% above cluster
AC00045,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $364.72 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,6.343923406213499,5,-5.0556172515867885,369.024,4162.487999999999,5,Min balance: $364.72
AC00046,0,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,3,-8.23926328037858,356.65000000000003,4855.713333333334,3,3 anomalies
AC00047,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $293.24 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,2.093213612349535,4,3.698766114799975,403.05,6822.0775,4,Min balance: $293.24
AC00048,0,Consider reducing transaction amounts,Your avg transaction ($534.09) is 37% above cluster average,HIGH,SPENDING_CONTROL,15.07493416993951,3,37.413407751528396,534.09,6138.25,3,37.4% above cluster
AC00049,2,Consider reducing transaction amounts,Your avg transaction ($556.88) is 152% above cluster average,HIGH,SPENDING_CONTROL,74.91262739316409,2,152.4918897727082,556.885,6420.015,2,152.5% above cluster
AC00050,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $290.24 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,15.78716464373253,5,-7.117140706984496,203.912,2506.364,5,Min balance: $290.24
AC00051,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $224.65 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,15.211206883002141,4,8.091247745265505,237.3,2963.5225,4,Min balance: $224.65
AC00052,2,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,3,-35.848375366654736,141.48999999999998,11790.659999999998,3,3 anomalies
AC00053,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $303.68 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,0.0,7,-54.23414878591133,100.47285714285717,6333.698571428571,7,Min balance: $303.68
AC00054,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $409.26 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,0.0,9,-49.921739095804725,194.64111111111112,8343.468888888889,9,Min balance: $409.26
AC00055,1,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,12.145177614026391,5,-14.264008288624677,188.222,2345.77,5,5 anomalies
AC00056,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $411.78 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,0.0,6,-62.14301053472814,83.11,3311.976666666667,6,Min balance: $411.78
AC00057,1,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,20.51047166567249,5,2.7272252697145247,225.524,2884.134,5,5 anomalies
AC00058,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $438.75 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,0.0,7,-36.796808536449674,245.6542857142857,6184.515714285714,7,Min balance: $438.75
AC00059,1,Monitor unusual transactions for budget deviations,Found 4 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,4,-32.47485548302772,148.2425,5450.702499999999,4,4 anomalies
AC00060,0,Monitor unusual transactions for budget deviations,Found 4 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,4,-0.12706356421522463,388.18,8073.03,4,4 anomalies
AC00061,1,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,7.62931574849153,5,-12.810948531745636,191.412,4894.168,5,5 anomalies
AC00062,1,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,1.2828464563586754,3,4.738733698046152,229.94000000000003,4016.0966666666654,3,3 anomalies
AC00063,0,Review irregular transactions for budgeting patterns,Detected 10 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,24.04052557307145,10,-17.856066356520493,319.272,6064.0650000000005,10,10 anomalies
AC00064,0,Monitor unusual transactions for budget deviations,Found 4 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,4,-9.239459169899208,352.7625,6635.09,4,4 anomalies
AC00065,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $250.93 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,15.25407356448164,5,0.2265048730794274,220.034,5017.586,5,Min balance: $250.93
AC00066,1,Monitor unusual transactions for budget deviations,Found 4 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,5.748238670235924,4,-1.7169056136680356,215.7675,4661.935,4,4 anomalies
AC00067,0,Review irregular transactions for budgeting patterns,Detected 7 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,28.17912489525624,7,18.512140459439188,460.6257142857143,6148.915714285715,7,7 anomalies
AC00068,0,Consider reducing transaction amounts,Your avg transaction ($660.50) is 70% above cluster average,HIGH,SPENDING_CONTROL,40.80238288217703,4,69.93617608711101,660.4975,3794.6925,4,69.9% above cluster
AC00069,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $287.46 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,0.0,7,-40.54582023074835,231.08285714285716,6979.097142857143,7,Min balance: $287.46
AC00070,0,Review irregular transactions for budgeting patterns,Detected 8 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,2.525251248054662,8,-39.15625088400738,236.48375,5023.30875,8,8 anomalies
AC00071,0,Consider reducing transaction amounts,Your avg transaction ($506.26) is 30% above cluster average,HIGH,SPENDING_CONTROL,41.671883674609965,8,30.254449391165377,506.265,1760.04875,8,30.3% above cluster
AC00072,1,Consider reducing transaction amounts,Your avg transaction ($322.25) is 47% above cluster average,HIGH,SPENDING_CONTROL,31.625196151638562,4,46.788643245472116,322.255,5915.9325,4,46.8% above cluster
AC00073,0,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,3.7599279807605708,5,-5.585624591114113,366.964,6266.718,5,5 anomalies
AC00074,1,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,3,-39.70637100766269,132.36666666666667,5596.883333333334,3,3 anomalies
AC00075,1,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,14.75365661221323,5,-0.5296328060488507,218.374,5046.526,5,5 anomalies
AC00076,0,Review irregular transactions for budgeting patterns,Detected 7 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,0.0,7,-38.98520222545499,237.14857142857144,4514.394285714286,7,7 anomalies
AC00077,0,Review irregular transactions for budgeting patterns,Detected 6 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,0.0,6,-24.687500763864904,292.72,5078.52,6,6 anomalies
AC00078,0,Review irregular transactions for budgeting patterns,Detected 6 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,27.764465303615495,6,25.946210119133806,489.52,4800.7,6,6 anomalies
AC00079,2,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,0.0,5,-53.297943715223006,103.004,8332.318,5,5 anomalies
AC00080,0,Review irregular transactions for budgeting patterns,Detected 6 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,11.942360318441274,6,-4.0167857137721485,373.06166666666667,4599.393333333333,6,6 anomalies
AC00081,1,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,3.9243773577552243,3,-7.780051772662016,202.45666666666668,833.0,3,3 anomalies
AC00082,1,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,7.778196593516569,3,9.636926776094,240.69333333333336,2743.0533333333333,3,3 anomalies
AC00083,0,Review irregular transactions for budgeting patterns,Detected 6 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,24.852176487593024,6,18.06728224172682,458.8966666666667,3086.276666666666,6,6 anomalies
AC00084,1,Monitor unusual transactions for budget deviations,Found 2 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,2,14.338493690593419,251.015,5090.395,2,2 anomalies
AC00085,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $299.93 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,41.640366858546926,6,28.73395822034286,282.61833333333334,3256.9216666666666,6,Min balance: $299.93
AC00086,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $422.32 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,28.99844649291865,7,17.251075839523615,455.7242857142857,3770.9185714285713,7,Min balance: $422.32
AC00087,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $425.77 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,2.1213779315777064,9,-47.32887686845152,204.7188888888889,5808.111111111111,9,Min balance: $425.77
AC00088,1,Monitor unusual transactions for budget deviations,Found 2 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,6.904414431749263,2,16.959922813113444,256.77,1355.865,2,2 anomalies
AC00089,1,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,20.183130751230642,5,9.435897401161094,240.252,5283.81,5,5 anomalies
AC00090,0,Review irregular transactions for budgeting patterns,Detected 9 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,14.66860709150095,9,-26.24579095143958,286.66333333333336,5545.664444444444,9,9 anomalies
AC00091,2,Consider reducing transaction amounts,Your avg transaction ($359.00) is 63% above cluster average,HIGH,SPENDING_CONTROL,38.45097541621131,3,62.77226010403373,359.00333333333333,7123.256666666667,3,62.8% above cluster
AC00092,0,Review irregular transactions for budgeting patterns,Detected 8 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,8.830336206985875,8,-25.46450181501662,289.7,6780.3775,8,8 anomalies
AC00093,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $162.53 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,24.772107118616496,9,-9.509108265373383,351.7144444444445,4057.8533333333335,9,Min balance: $162.53
AC00094,1,Monitor unusual transactions for budget deviations,Found 4 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,4,-74.48946342194019,56.005,4518.3225,4,4 anomalies
AC00095,0,Review irregular transactions for budgeting patterns,Detected 8 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,24.414089565681266,8,2.3309741154008727,397.73375,6626.547500000001,8,8 anomalies
AC00096,1,Consider reducing transaction amounts,Your avg transaction ($294.10) is 34% above cluster average,HIGH,SPENDING_CONTROL,19.883652069967724,3,33.963910500980134,294.1,3377.3033333333333,3,34.0% above cluster
AC00097,1,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,3,-60.26177642942704,87.24000000000001,4684.803333333333,3,3 anomalies
AC00098,0,Consider reducing transaction amounts,Your avg transaction ($642.51) is 65% above cluster average,HIGH,SPENDING_CONTROL,41.58134263822868,5,65.30928919857236,642.514,7159.088000000001,5,65.3% above cluster
AC00099,0,Consider reducing transaction amounts,Your avg transaction ($627.75) is 62% above cluster average,HIGH,SPENDING_CONTROL,34.04623358354547,4,61.50944531630098,627.745,6798.962500000001,4,61.5% above cluster
AC00100,1,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,3,-32.07970521998929,149.11,5941.206666666668,3,3 anomalies
AC00101,2,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,3,-54.675071907224904,99.96666666666664,9256.106666666668,3,3 anomalies
AC00102,1,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $475.63 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,4.7921341071337356,5,-24.694153214335124,165.324,2944.042,5,Min balance: $475.63
AC00103,0,Review irregular transactions for budgeting patterns,Detected 5 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,15.563679063129408,5,10.375314882146602,429.0,3225.65,5,5 anomalies
AC00104,1,Optimize transaction amounts to align with your spending group,Your spending is 25% above similar customers - small changes add up,MEDIUM,SPENDING_OPTIMIZATION,0.5900699699687326,1,25.354873069941274,275.2,1230.12,1,25.4% above cluster
AC00105,1,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,3,-42.026407902658704,127.27333333333333,4890.046666666666,3,3 anomalies
AC00106,1,Consider reducing transaction amounts,Your avg transaction ($344.03) is 57% above cluster average,HIGH,SPENDING_CONTROL,56.10043315890486,6,56.70725647620601,344.03,3476.026666666666,6,56.7% above cluster
AC00107,0,Consider reducing transaction amounts,Your avg transaction ($596.06) is 53% above cluster average,HIGH,SPENDING_CONTROL,37.68618910820816,5,53.35839554758002,596.064,3541.558,5,53.4% above cluster
AC00108,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $373.88 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,6.478403460972864,6,-17.653325684895474,320.06,2645.563333333333,6,Min balance: $373.88
AC00109,2,Monitor unusual transactions for budget deviations,Found 2 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,2,-5.030749199939912,209.46,7460.469999999999,2,2 anomalies
AC00110,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $363.92 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,12.254745337334,8,-19.34851299475502,313.47125,6877.297500000001,8,Min balance: $363.92
AC00111,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $269.78 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,24.140004686121923,7,12.901487173804908,438.8185714285714,7752.751428571429,7,Min balance: $269.78
AC00112,2,Consider reducing transaction amounts,Your avg transaction ($554.15) is 151% above cluster average,HIGH,SPENDING_CONTROL,22.246191252730284,1,151.25183963932633,554.15,14817.22,1,151.3% above cluster
AC00113,1,Consider reducing transaction amounts,Your avg transaction ($335.18) is 53% above cluster average,HIGH,SPENDING_CONTROL,35.525874861069774,4,52.67604053627514,335.18,5511.6875,4,52.7% above cluster
AC00114,0,Review irregular transactions for budgeting patterns,Detected 7 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,7.532743858275126,7,-18.357551803157847,317.3228571428572,6692.155714285714,7,7 anomalies
AC00115,1,Monitor unusual transactions for budget deviations,Found 3 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,2.8646782158089286,3,14.193491384656182,250.6966666666667,5561.496666666666,3,3 anomalies
AC00116,1,Review irregular transactions for budgeting patterns,Detected 6 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,17.108726546031182,6,-10.399962546428776,196.705,5196.58,6,6 anomalies
AC00117,1,Excellent financial discipline - consider higher-yield savings options,Strong balance management with 4.4x typical monthly spending in reserves,LOW,OPTIMIZATION_OPPORTUNITY,0.0,1,-74.8014840907371,55.32,241.79,1,Balance ratio: 4.4x
AC00118,1,Consider reducing transaction amounts,Your avg transaction ($312.65) is 42% above cluster average,HIGH,SPENDING_CONTROL,34.60624569053172,4,42.413521312925646,312.65,2507.6725,4,42.4% above cluster
AC00119,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $151.28 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,0.0,6,-29.706704573870844,273.21166666666664,7481.866666666668,6,Min balance: $151.28
AC00120,0,Review irregular transactions for budgeting patterns,Detected 6 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,0.0,6,-25.190921974710445,290.7633333333333,7797.528333333333,6,6 anomalies
AC00121,2,Monitor unusual transactions for budget deviations,Found 2 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,2,-33.18464793205932,147.365,4727.515,2,2 anomalies
AC00122,1,Review irregular transactions for budgeting patterns,Detected 6 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,33.809883760890905,6,18.15714080506658,259.39833333333337,4967.5616666666665,6,6 anomalies
AC00123,2,Monitor unusual transactions for budget deviations,Found 4 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,15.784797850951485,4,4.175546214436189,229.765,7671.035000000001,4,4 anomalies
AC00124,0,Monitor unusual transactions for budget deviations,Found 4 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,4,-23.404934459232045,297.705,7488.18,4,4 anomalies
AC00125,1,Review irregular transactions for budgeting patterns,Detected 6 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,9.030372238466368,6,-23.650592116212916,167.61499999999998,5158.7300000000005,6,6 anomalies
AC00126,1,Review irregular transactions for budgeting patterns,Detected 7 anomalous transactions indicating inconsistent spending,MEDIUM,SPENDING_PATTERNS,30.8023950217965,7,-1.0995341652403627,217.12285714285716,5026.975714285714,7,7 anomalies
AC00127,2,Monitor unusual transactions for budget deviations,Found 2 anomalous transactions - may indicate unplanned expenses,MEDIUM,SPENDING_PATTERNS,0.0,2,23.653628017026588,272.725,7377.245,2,2 anomalies
AC00128,0,Establish minimum balance threshold to avoid overdrafts,Minimum balance reached $383.58 with frequent transactions,HIGH,OVERDRAFT_PROTECTION,29.949468054766026,7,18.53088551791069,460.6985714285715,3310.42,7,Min balance: $383.58
