TransactionID,AccountID,TransactionAmount,TransactionDuration,LoginAttempts,AccountBalance,AnomalyScore,RiskLevel,TransactionType,IsAnomaly
TX000036,AC00267,124.76,45,1,5764.72,-0.4135102460138633,High,Debit,False
TX000037,AC00404,78.13,145,1,900.61,-0.4075006312838322,High,Debit,False
TX000038,AC00202,649.28,137,1,4875.86,-0.44199860978084454,Low,Debit,False
TX000039,AC00478,795.31,90,2,7914.88,-0.5749108730021417,Low,Debit,False
TX000040,AC00405,335.63,216,1,1019.39,-0.449802811661744,Low,Debit,False
TX000041,AC00421,328.47,119,1,4323.66,-0.40564633250304155,High,Debit,False
TX000042,AC00480,34.02,19,1,14214.48,-0.5518410480261328,Low,Debit,False
TX000043,AC00120,241.42,116,1,13357.02,-0.4768592273176926,Low,Credit,False
TX000044,AC00117,55.32,117,1,241.79,-0.4296792173930579,Low,Debit,False
TX000045,AC00011,304.31,33,1,868.61,-0.43177366332100164,Low,Debit,False
TX000046,AC00401,435.27,90,1,4673.28,-0.4150044367573902,Low,Debit,False
TX000047,AC00282,164.49,75,1,1509.27,-0.39713639595891226,High,Debit,False
TX000048,AC00439,510.24,105,1,781.7,-0.4299445985044596,Low,Debit,False
TX000049,AC00296,626.9,138,1,265.51,-0.46639036188355787,Low,Debit,False
TX000050,AC00471,22.01,175,1,1335.09,-0.43832521179162887,Low,Credit,False
TX000051,AC00159,425.34,121,1,3907.54,-0.4132670275507589,High,Credit,False
TX000052,AC00482,424.56,264,1,5183.85,-0.48988752519571505,Low,Debit,False
TX000053,AC00115,85.43,145,1,14904.9,-0.5199300097900035,Low,Debit,False
TX000054,AC00055,169.5,142,1,918.88,-0.40143309277612865,High,Debit,False
TX000055,AC00419,104.63,90,1,4477.78,-0.4060186603900498,High,Debit,False
TX000056,AC00374,316.95,83,1,1324.03,-0.39664274871980637,High,Debit,False
TX000057,AC00271,60.54,52,1,3534.93,-0.4163767528412701,Low,Credit,False
TX000058,AC00456,292.56,61,1,4638.37,-0.40537329327756005,High,Credit,False
TX000059,AC00143,386.52,28,1,5630.61,-0.44352235663653394,Low,Debit,False
TX000060,AC00427,112.07,51,1,930.3,-0.41948260434432966,Low,Debit,False
TX000061,AC00438,568.52,152,1,5499.91,-0.43100282450861443,Low,Debit,False
TX000062,AC00002,263.99,227,2,4175.02,-0.5786515293548915,Low,Debit,False
TX000063,AC00425,349.64,226,1,6651.62,-0.45290153934779637,Low,Debit,False
TX000064,AC00325,601.4,104,1,8458.29,-0.45769128630545264,Low,Credit,False
TX000065,AC00434,5.77,124,1,13988.12,-0.5098595673280489,Low,Debit,False
TX000066,AC00242,201.33,186,1,2585.07,-0.4421987592086412,Low,Credit,False
TX000067,AC00319,298.42,225,1,3014.75,-0.4566830761006299,Low,Debit,False
TX000068,AC00460,521.06,128,1,1951.42,-0.425114039614336,Low,Debit,False
TX000069,AC00461,117.28,16,1,3665.77,-0.46363207705089954,Low,Credit,False
TX000070,AC00395,189.12,103,1,977.01,-0.400307138952145,High,Credit,False
TX000071,AC00217,133.55,220,1,3846.28,-0.4558930497499012,Low,Debit,False
TX000072,AC00053,143.21,135,1,6374.82,-0.39605129765240876,High,Debit,False
TX000073,AC00282,24.77,55,1,5866.01,-0.4215785670783543,Low,Debit,False
TX000074,AC00110,233.92,280,1,6537.62,-0.48985255483908174,Low,Credit,False
TX000075,AC00265,1212.51,24,1,605.95,-0.5837533071648394,Low,Debit,False
TX000076,AC00239,232.12,51,1,6689.87,-0.41711075602255837,Low,Debit,False
TX000077,AC00007,162.63,113,1,634.17,-0.40926591990937516,High,Debit,False
TX000078,AC00022,91.53,69,1,14676.05,-0.522071725801701,Low,Debit,False
TX000079,AC00464,120.29,77,1,1362.39,-0.39997478600276465,High,Debit,False
TX000080,AC00014,174.25,67,1,10528.34,-0.4443689802758831,Low,Debit,False
TX000081,AC00406,183.71,102,1,552.52,-0.4104072148499828,High,Debit,False
TX000082,AC00445,345.39,80,1,6451.96,-0.40728245392304135,High,Credit,False
TX000083,AC00236,922.55,87,1,4715.84,-0.48005055267601504,Low,Debit,False
TX000084,AC00220,259.91,170,1,7176.86,-0.4112911334210766,High,Debit,False
TX000085,AC00140,154.71,157,1,1523.72,-0.4058459447452281,High,Debit,False
TX000086,AC00098,1340.19,30,1,8654.28,-0.6043927419624257,Low,Credit,True
TX000087,AC00303,24.56,69,1,9869.93,-0.4451827289705847,Low,Debit,False
TX000088,AC00373,568.07,115,1,10556.81,-0.4756358523660393,Low,Debit,False
TX000089,AC00438,9.61,179,1,12883.91,-0.514716861183489,Low,Credit,False
TX000090,AC00437,392.96,100,1,791.65,-0.4149054065054404,Low,Debit,False
TX000091,AC00106,716.93,34,1,4064.02,-0.47666590278648024,Low,Credit,False
TX000092,AC00310,223.85,55,4,2929.91,-0.6306535642461979,Low,Debit,True
TX000093,AC00149,230.66,135,1,618.05,-0.4114810677057412,High,Debit,False
TX000094,AC00373,442.12,260,1,1375.8,-0.50033584398106,Low,Debit,False
TX000095,AC00425,644.17,72,1,1143.52,-0.44665619953390184,Low,Debit,False
TX000096,AC00010,508.68,127,1,7708.41,-0.42504312091581026,Low,Credit,False
TX000097,AC00348,858.63,185,1,1872.96,-0.4986255809446969,Low,Credit,False
TX000098,AC00011,25.36,78,1,201.04,-0.44607250282917593,Low,Debit,False
TX000099,AC00453,147.62,133,1,2115.8,-0.40917889931165513,High,Debit,False
TX000100,AC00178,115.02,175,1,7643.66,-0.42137722745110895,Low,Debit,False
TX000101,AC00265,383.37,24,1,8901.93,-0.47206901428072084,Low,Debit,False
TX000102,AC00018,98.54,167,1,9383.43,-0.42918256454522336,Low,Credit,False
TX000103,AC00075,83.24,164,1,1181.31,-0.418771611489655,Low,Credit,False
TX000104,AC00464,196.16,146,1,9418.86,-0.42583868880507514,Low,Debit,False
TX000105,AC00170,129.94,235,1,7954.92,-0.4536254397397475,Low,Debit,False
TX000106,AC00235,306.9,51,1,9418.08,-0.44704192502280204,Low,Debit,False
TX000107,AC00013,114.98,80,1,6144.68,-0.3951791278918173,High,Debit,False
TX000108,AC00397,756.59,17,1,420.65,-0.5211589994038579,Low,Debit,False
TX000109,AC00423,503.76,35,1,447.82,-0.4578067081969577,Low,Debit,False
TX000110,AC00154,143.03,147,1,7981.45,-0.404905015911591,High,Debit,False
TX000111,AC00068,1045.22,73,1,1829.9,-0.5126733787067727,Low,Debit,False
TX000112,AC00318,245.54,180,1,985.06,-0.42012364199911656,Low,Debit,False
TX000113,AC00396,254.37,174,1,8849.26,-0.43020826702819376,Low,Credit,False
TX000114,AC00121,213.76,282,1,3528.72,-0.5012039305677329,Low,Credit,False
TX000115,AC00336,327.86,104,1,480.16,-0.41609822589897055,Low,Debit,False
TX000116,AC00468,2.5,107,1,12145.27,-0.4991803335372598,Low,Debit,False
TX000117,AC00282,300.08,47,1,13546.75,-0.5090696952079794,Low,Credit,False
TX000118,AC00498,56.98,122,2,5688.37,-0.538657765717098,Low,Credit,False
TX000119,AC00085,407.65,62,1,8346.64,-0.43893445788023294,Low,Debit,False
TX000120,AC00092,115.83,167,1,6481.04,-0.4146843668874635,Low,Debit,False
TX000121,AC00295,53.57,121,1,1651.33,-0.40627665794978146,High,Debit,False
TX000122,AC00358,63.34,165,1,11174.94,-0.4684477939821792,Low,Credit,False
TX000123,AC00311,317.87,91,1,145.5,-0.43622752541847637,Low,Debit,False
TX000124,AC00066,331.65,61,1,4172.57,-0.4111820505514839,High,Debit,False
TX000125,AC00340,5.04,41,1,5558.36,-0.4387529749814084,Low,Debit,False
TX000126,AC00284,214.54,247,1,11151.53,-0.5371587820560141,Low,Credit,False
TX000127,AC00208,598.81,158,1,1415.52,-0.438496755872298,Low,Debit,False
TX000128,AC00176,841.28,80,1,1103.64,-0.4740030333129481,Low,Debit,False
TX000129,AC00053,38.15,108,1,303.68,-0.440371410333791,Low,Debit,False
TX000130,AC00320,1036.66,144,1,5541.57,-0.4939655216141998,Low,Debit,False
TX000131,AC00382,124.72,105,1,6309.8,-0.40191492536942613,High,Debit,False
TX000132,AC00384,302.45,40,1,5133.61,-0.40381391053511206,High,Credit,False
TX000133,AC00203,208.04,273,1,9344.98,-0.5081772538148778,Low,Debit,False
TX000134,AC00498,5.77,254,1,1117.97,-0.494254367500378,Low,Credit,False
TX000135,AC00349,381.33,75,1,11835.35,-0.4777554523976501,Low,Debit,False
TX000136,AC00177,16.16,124,1,14401.17,-0.5063073150670391,Low,Debit,False
TX000137,AC00284,486.08,68,1,1748.69,-0.4180161180476239,Low,Debit,False
TX000138,AC00272,336.39,18,1,1000.46,-0.45870116157634266,Low,Debit,False
TX000139,AC00405,997.43,118,1,6810.05,-0.49325360948177904,Low,Debit,False
TX000140,AC00385,234.57,120,1,263.98,-0.4274016965772012,Low,Debit,False
TX000141,AC00403,6.0,246,1,5442.76,-0.4791860859599693,Low,Debit,False
TX000142,AC00114,1049.92,21,1,2037.85,-0.549523805605622,Low,Debit,False
TX000143,AC00163,227.14,294,1,341.94,-0.5325814352537757,Low,Debit,False
TX000144,AC00108,233.74,17,1,1066.59,-0.45809965587615104,Low,Credit,False
TX000145,AC00397,113.02,166,1,6077.96,-0.4125737778919434,High,Credit,False
TX000146,AC00434,45.85,92,1,1659.15,-0.4094538381204552,High,Debit,False
TX000147,AC00385,973.39,296,1,2042.22,-0.614320798435448,Low,Debit,True
TX000148,AC00161,514.95,142,5,421.93,-0.6728908087705394,Low,Debit,True
TX000149,AC00333,415.5,141,1,10113.66,-0.4452015716384391,Low,Debit,False
TX000150,AC00279,265.76,92,1,4446.17,-0.4021842226740647,High,Debit,False
TX000151,AC00072,69.4,113,1,6452.77,-0.405165241127357,High,Debit,False
TX000152,AC00242,332.93,293,1,2788.2,-0.5265063159224448,Low,Credit,False
TX000153,AC00303,267.9,160,1,596.16,-0.41571900070232404,Low,Debit,False
TX000154,AC00442,496.03,265,1,12904.66,-0.5908237328504863,Low,Debit,False
TX000155,AC00087,376.26,245,1,9062.4,-0.4812606592495122,Low,Debit,False
TX000156,AC00174,83.02,171,1,9009.56,-0.4298868007846402,Low,Credit,False
TX000157,AC00421,93.26,72,1,1152.2,-0.3995819224877819,High,Credit,False
TX000158,AC00111,803.37,129,1,12168.37,-0.5331315312668937,Low,Credit,False
TX000159,AC00275,35.76,122,1,611.86,-0.4198699840609484,Low,Debit,False
TX000160,AC00492,28.53,99,1,8670.53,-0.4267360024615442,Low,Debit,False
TX000161,AC00380,139.53,177,1,10098.86,-0.4467825882926462,Low,Credit,False
TX000162,AC00227,307.57,285,1,5307.74,-0.493389785263121,Low,Debit,False
TX000163,AC00257,60.65,53,1,1047.28,-0.4204588506174787,Low,Credit,False
TX000164,AC00062,74.86,125,1,6921.48,-0.3997240748611187,High,Debit,False
TX000165,AC00383,117.97,137,1,1475.46,-0.3996521173030839,High,Debit,False
TX000166,AC00182,231.91,165,1,112.76,-0.4476419685574711,Low,Debit,False
TX000167,AC00478,126.21,268,1,5669.66,-0.4712021674728503,Low,Debit,False
TX000168,AC00332,506.28,162,2,1309.95,-0.5688771632692713,Low,Credit,False
TX000169,AC00202,304.35,36,1,4057.1,-0.414256789415217,Low,Debit,False
TX000170,AC00331,281.85,109,1,1585.98,-0.4013787486756059,High,Debit,False
TX000171,AC00474,777.88,17,1,6825.55,-0.5161629785381914,Low,Debit,False
TX000172,AC00268,119.18,96,1,5516.5,-0.3988561775975846,High,Debit,False
TX000173,AC00247,177.19,43,1,5343.3,-0.4079593309651581,High,Debit,False
TX000174,AC00298,260.88,36,1,903.05,-0.42257616934768405,Low,Debit,False
TX000175,AC00106,169.47,19,1,1806.16,-0.4462122462897903,Low,Debit,False
TX000176,AC00035,73.23,14,1,787.74,-0.4750900985755531,Low,Debit,False
TX000177,AC00363,1362.55,106,1,2429.68,-0.5723461626179359,Low,Debit,False
TX000178,AC00273,792.57,164,1,770.37,-0.4866144043728279,Low,Debit,False
TX000179,AC00156,237.06,46,1,1182.77,-0.4153958088733646,Low,Debit,False
TX000180,AC00010,34.17,54,1,726.55,-0.4337130273507549,Low,Credit,False
TX000181,AC00036,740.25,123,1,14464.3,-0.5519502069444997,Low,Debit,False
TX000182,AC00149,453.54,82,1,12046.3,-0.483424900862374,Low,Debit,False
TX000183,AC00225,300.47,100,1,7885.64,-0.40609239287663873,High,Debit,False
TX000184,AC00077,110.93,201,1,1952.35,-0.4371041558793517,Low,Credit,False
TX000185,AC00440,201.69,299,1,7328.52,-0.5331071657705074,Low,Debit,False
TX000186,AC00321,399.21,109,1,3210.39,-0.4135684418537864,High,Debit,False
TX000187,AC00099,1041.88,57,1,5726.2,-0.521724939218738,Low,Debit,False
TX000188,AC00258,630.36,52,1,1363.65,-0.45692443320866705,Low,Debit,False
TX000189,AC00132,10.94,245,1,1241.99,-0.489458622482379,Low,Credit,False
TX000190,AC00113,215.9,235,1,7873.28,-0.45136971795865066,Low,Debit,False
TX000191,AC00396,1422.55,165,1,5674.32,-0.5952679752548364,Low,Debit,False
TX000192,AC00099,226.37,141,1,9840.04,-0.4270802105510098,Low,Credit,False
TX000193,AC00265,444.89,101,1,10328.23,-0.4600669231748925,Low,Credit,False
TX000194,AC00047,280.57,24,1,293.24,-0.45524789610226446,Low,Credit,False
TX000195,AC00005,488.54,132,1,7486.63,-0.4222791546161559,Low,Debit,False
TX000196,AC00363,3.3,131,1,11385.37,-0.48508494860403234,Low,Credit,False
TX000197,AC00426,199.39,165,1,7264.79,-0.4116700333941594,High,Debit,False
TX000198,AC00107,20.36,75,1,2762.48,-0.42232871735444416,Low,Debit,False
TX000199,AC00237,113.64,32,1,6675.03,-0.42736278749846174,Low,Debit,False
TX000200,AC00358,493.11,236,1,7432.99,-0.4895940256779951,Low,Debit,False
TX000201,AC00113,307.41,14,1,1057.0,-0.4643829640698503,Low,Debit,False
TX000202,AC00010,11.18,161,1,5956.89,-0.42848071021403034,Low,Debit,False
TX000203,AC00499,313.82,151,1,7261.59,-0.40214229567814785,High,Debit,False
TX000204,AC00380,51.0,107,1,4943.16,-0.40738798159288986,High,Debit,False
TX000205,AC00452,140.98,100,1,8127.48,-0.4131503931028212,High,Debit,False
TX000206,AC00020,288.04,63,1,1748.02,-0.4019214462568689,High,Debit,False
TX000207,AC00181,800.55,108,1,9660.22,-0.505990898838939,Low,Debit,False
TX000208,AC00370,485.54,143,1,6371.51,-0.41989304444384834,Low,Debit,False
TX000209,AC00453,521.15,214,1,9442.47,-0.5084726245932079,Low,Debit,False
TX000210,AC00339,321.79,61,1,5959.2,-0.3979041466053073,High,Credit,False
TX000211,AC00249,304.93,158,1,13531.22,-0.48891538019262876,Low,Debit,False
TX000212,AC00479,432.08,145,1,11500.62,-0.47227968456746694,Low,Debit,False
TX000213,AC00301,694.2,72,1,1389.37,-0.45476989767248455,Low,Debit,False
TX000214,AC00380,116.86,171,1,6706.56,-0.4207572263515496,Low,Debit,False
TX000215,AC00130,386.81,149,1,7175.29,-0.41342407921047264,High,Credit,False
TX000216,AC00006,74.88,202,1,420.67,-0.44941741626113885,Low,Debit,False
TX000217,AC00096,195.76,99,1,7323.53,-0.39961681027051954,High,Debit,False
TX000218,AC00108,134.7,106,1,8395.85,-0.41167021947319227,High,Debit,False
TX000219,AC00070,890.24,161,1,5140.93,-0.4838582617804012,Low,Credit,False
TX000220,AC00417,361.27,180,1,7945.57,-0.43179374366936873,Low,Debit,False
TX000221,AC00391,131.56,42,1,5873.54,-0.41207217966550613,High,Debit,False
TX000222,AC00414,485.51,37,1,3074.45,-0.434142147179553,Low,Credit,False
TX000223,AC00004,547.87,131,1,6155.76,-0.4250044331654482,Low,Debit,False
TX000224,AC00047,457.3,15,1,8318.29,-0.47685676522170806,Low,Debit,False
TX000225,AC00198,506.24,64,1,230.09,-0.4586304126120951,Low,Debit,False
TX000226,AC00314,486.59,119,1,2513.56,-0.41745522291317494,Low,Debit,False
TX000227,AC00212,163.68,292,1,10090.05,-0.5574929168451501,Low,Debit,False
TX000228,AC00115,581.65,176,1,480.19,-0.47521110774652303,Low,Debit,False
TX000229,AC00055,52.01,85,1,1120.88,-0.4035082147530006,High,Debit,False
TX000230,AC00427,630.24,62,1,370.81,-0.47086501509271034,Low,Debit,False
TX000231,AC00401,523.74,159,1,13498.55,-0.516274939642246,Low,Debit,False
TX000232,AC00430,705.6,124,3,14804.7,-0.6631231025333127,Low,Debit,True
TX000233,AC00299,217.5,35,1,3057.4,-0.41935140808100063,Low,Credit,False
TX000234,AC00345,91.48,141,1,14942.78,-0.5141235559973787,Low,Debit,False
TX000235,AC00430,5.25,49,1,14143.32,-0.5386636360507961,Low,Debit,False
TX000236,AC00175,54.03,161,1,6736.3,-0.41164437761377126,High,Credit,False
TX000237,AC00177,736.73,10,1,3313.07,-0.5228213985212885,Low,Debit,False
TX000238,AC00225,368.91,14,1,829.71,-0.4702906500859428,Low,Debit,False
TX000239,AC00394,33.06,170,1,1540.87,-0.4333279759849605,Low,Credit,False
TX000240,AC00026,66.5,144,1,6820.23,-0.39933393200890804,High,Credit,False
TX000241,AC00076,177.08,85,1,13475.14,-0.49187800276133425,Low,Debit,False
TX000242,AC00215,588.54,130,1,714.45,-0.44233702097840677,Low,Debit,False
TX000243,AC00202,173.5,282,1,1306.91,-0.49108385589473047,Low,Debit,False
TX000244,AC00400,78.33,189,1,7255.33,-0.4289396765439648,Low,Credit,False
TX000245,AC00004,40.66,156,1,1153.84,-0.41382474502722333,High,Debit,False
TX000246,AC00260,97.22,55,1,6647.73,-0.4133883832002937,High,Credit,False
TX000247,AC00415,34.07,81,1,8709.77,-0.4236121968923544,Low,Debit,False
TX000248,AC00337,492.06,74,1,857.9,-0.4285194586532229,Low,Debit,False
TX000249,AC00253,842.01,185,1,509.45,-0.5095413140426819,Low,Credit,False
TX000250,AC00126,73.55,158,1,2812.06,-0.4116789196569496,High,Debit,False
TX000251,AC00304,760.53,118,1,6179.91,-0.44549052366009495,Low,Debit,False
TX000252,AC00470,273.08,134,1,6609.3,-0.39693944542054865,High,Credit,False
TX000253,AC00041,371.69,143,1,3484.32,-0.4067928566696499,High,Debit,False
TX000254,AC00442,218.96,13,1,754.21,-0.47546331637492956,Low,Debit,False
TX000255,AC00430,227.39,65,1,751.09,-0.4115568621502001,High,Debit,False
TX000256,AC00258,237.99,86,1,8510.09,-0.42222365950153357,Low,Credit,False
TX000257,AC00073,186.6,13,1,1508.72,-0.4700147337891062,Low,Debit,False
TX000258,AC00430,341.15,148,1,511.37,-0.41734351587278634,Low,Debit,False
TX000259,AC00363,434.58,215,1,12648.32,-0.5428309254346417,Low,Debit,False
TX000260,AC00307,312.88,44,1,233.21,-0.4466705294915486,Low,Credit,False
TX000261,AC00085,75.15,154,1,1092.92,-0.4039720165012428,High,Debit,False
TX000262,AC00448,23.3,161,1,6711.15,-0.4302366373662545,Low,Debit,False
TX000263,AC00194,47.38,61,1,459.37,-0.42566387511380593,Low,Credit,False
TX000264,AC00319,512.81,30,1,6994.34,-0.46663108138452836,Low,Debit,False
TX000265,AC00366,488.15,168,1,7071.09,-0.4364189942946237,Low,Debit,False
TX000266,AC00338,12.82,156,1,9045.19,-0.43611412796338583,Low,Debit,False
TX000267,AC00178,66.9,129,4,5238.71,-0.6237568438540082,Low,Credit,True
TX000268,AC00424,535.91,22,1,9642.12,-0.505049212187742,Low,Debit,False
TX000269,AC00147,270.72,53,1,6263.96,-0.4068941108767415,High,Credit,False
TX000270,AC00171,97.98,18,1,7460.33,-0.44440568045992984,Low,Debit,False
TX000271,AC00023,196.08,98,1,4233.82,-0.40817445194363755,High,Debit,False
TX000272,AC00263,251.18,246,1,8303.9,-0.471763583795356,Low,Debit,False
TX000273,AC00423,44.52,205,1,314.28,-0.4650119185210404,Low,Debit,False
TX000274,AC00455,178.87,180,1,5241.23,-0.41646267756011984,Low,Debit,False
TX000275,AC00454,1176.28,174,5,323.69,-0.7068672761138752,Low,Credit,True
TX000276,AC00055,386.68,128,1,6863.06,-0.41167545623095275,High,Debit,False
TX000277,AC00403,167.14,20,1,3877.73,-0.44794011129893657,Low,Debit,False
TX000278,AC00220,345.22,253,1,4046.58,-0.4780473377857107,Low,Debit,False
TX000279,AC00009,74.85,117,1,2409.73,-0.4151833147613185,Low,Debit,False
TX000280,AC00445,671.73,54,1,5211.88,-0.45465479561074296,Low,Debit,False
TX000281,AC00133,255.04,152,1,6217.86,-0.3964581782241013,High,Debit,False
TX000282,AC00362,45.77,109,1,5978.12,-0.40928749963905936,High,Debit,False
TX000283,AC00026,329.69,66,1,1671.66,-0.404171658351991,High,Credit,False
TX000284,AC00387,362.04,198,2,8421.88,-0.5822496809622952,Low,Credit,False
TX000285,AC00451,11.92,52,1,14611.9,-0.5421028315850412,Low,Debit,False
TX000286,AC00033,47.42,28,1,8253.52,-0.44552320571443377,Low,Debit,False
TX000287,AC00087,35.99,129,1,4489.79,-0.41411361034743815,High,Debit,False
TX000288,AC00159,151.19,96,1,11903.82,-0.45636058548069536,Low,Credit,False
TX000289,AC00177,242.62,234,1,483.02,-0.4695196818713162,Low,Credit,False
TX000290,AC00093,48.72,17,1,816.08,-0.4779554823535812,Low,Debit,False
TX000291,AC00427,43.46,80,1,578.06,-0.41633343059910893,Low,Debit,False
TX000292,AC00284,1036.21,126,1,477.3,-0.5135905360963315,Low,Debit,False
TX000293,AC00189,443.79,87,1,3133.85,-0.417578014199388,Low,Debit,False
TX000294,AC00495,365.14,57,1,5894.09,-0.4091582018077744,High,Debit,False
TX000295,AC00148,757.41,37,1,9532.42,-0.5220195295323543,Low,Debit,False
TX000296,AC00272,20.54,72,1,5327.03,-0.4083345571815319,High,Debit,False
TX000297,AC00381,475.36,105,1,2000.6,-0.41264560882502077,High,Debit,False
TX000298,AC00110,34.74,24,1,6827.57,-0.44869121710998555,Low,Debit,False
TX000299,AC00495,689.54,93,1,1633.76,-0.4456823863692122,Low,Debit,False
TX000300,AC00035,211.18,90,1,4069.17,-0.40579837678257025,High,Debit,False
TX000301,AC00119,211.36,286,1,7943.47,-0.5066960382118144,Low,Credit,False
TX000302,AC00488,744.41,107,1,8842.47,-0.47811619529866234,Low,Credit,False
TX000303,AC00466,61.43,170,1,1882.77,-0.4179190740413669,Low,Debit,False
TX000304,AC00489,167.44,82,1,12526.71,-0.478085774280696,Low,Debit,False
TX000305,AC00306,361.46,83,1,4737.84,-0.4070063678296928,High,Debit,False
TX000306,AC00431,378.85,126,1,2300.53,-0.4120189717612112,High,Debit,False
TX000307,AC00233,241.11,55,1,12385.05,-0.4853140337214848,Low,Debit,False
TX000308,AC00389,131.93,13,1,4547.06,-0.466761450529133,Low,Credit,False
TX000309,AC00067,20.28,213,1,2047.83,-0.46315632243779703,Low,Debit,False
TX000310,AC00300,415.88,170,1,10008.33,-0.45975077116167024,Low,Debit,False
TX000311,AC00386,49.99,139,1,2299.64,-0.41435224643060664,Low,Debit,False
TX000312,AC00285,1221.65,153,1,243.92,-0.5586646226674851,Low,Debit,False
TX000313,AC00219,100.66,144,1,14473.33,-0.4952103790255242,Low,Debit,False
TX000314,AC00445,485.54,148,1,1533.32,-0.4230082347291846,Low,Debit,False
TX000315,AC00371,321.15,179,1,7005.05,-0.4158660077537708,Low,Debit,False
TX000316,AC00164,711.3,51,1,955.4,-0.4739099333155711,Low,Debit,False
TX000317,AC00200,12.23,139,1,7844.88,-0.42552109766241314,Low,Debit,False
TX000318,AC00310,350.94,64,1,221.56,-0.44446318508691063,Low,Debit,False
TX000319,AC00106,301.85,25,1,6586.19,-0.4346602047716566,Low,Debit,False
TX000320,AC00444,29.34,30,1,3944.82,-0.4541344381607693,Low,Debit,False
TX000321,AC00441,231.71,148,1,1127.98,-0.4018449220910764,High,Debit,False
TX000322,AC00300,179.43,244,1,2626.63,-0.47542583744717687,Low,Debit,False
TX000323,AC00194,36.71,55,1,6459.38,-0.42245254534629967,Low,Debit,False
TX000324,AC00248,138.12,281,1,1649.69,-0.49625373137387896,Low,Credit,False
TX000325,AC00286,233.24,72,1,6939.23,-0.40139174717250764,High,Debit,False
TX000326,AC00049,609.14,177,1,9033.87,-0.4942637399720983,Low,Debit,False
TX000327,AC00471,436.64,111,1,14365.18,-0.5087299827424325,Low,Debit,False
TX000328,AC00434,870.43,55,1,10115.18,-0.543112284967041,Low,Debit,False
TX000329,AC00264,354.4,128,1,7358.65,-0.4073933665764617,High,Debit,False
TX000330,AC00316,22.63,112,1,4438.03,-0.42214791979813016,Low,Debit,False
TX000331,AC00087,182.19,53,1,1176.1,-0.4146137519380991,Low,Debit,False
TX000332,AC00140,126.81,290,1,5427.98,-0.5105352698168995,Low,Debit,False
TX000333,AC00418,288.17,50,1,3653.11,-0.40944096024197224,High,Debit,False
